"pfad","pattern_a","pattern_b","pattern_c_wikilink","pattern_d_escapes","pattern_e_tabellen","pattern_f_eol_lf","file_size_bytes","last_modified"
"04-tagebuch\2026\04\2026-04-22.md","0","0","0","0","0","1","900","2026-04-23 00:27:21"
"04-tagebuch\2026\04\2026-04-23.md","0","0","0","0","0","1","2522","2026-04-23 13:40:53"
"04-tagebuch\2026\04\2026-04-24.md","0","0","0","0","0","1","678","2026-04-24 11:44:54"
"04-tagebuch\2026\04\2026-04-25.md","0","0","0","0","0","1","1269","2026-04-26 16:27:47"
"04-tagebuch\2026\04\2026-04-26.md","0","0","0","35","0","1","1495","2026-04-26 16:58:28"
"05-archiv\2026-04-23-kalani-lager-besuch.md","0","0","0","0","0","1","1116","2026-04-25 19:46:43"
"05-archiv\migration-abschluss.md","0","0","0","0","0","1","9502","2026-04-16 21:53:02"
"05-archiv\reisen\marokko-2026-04.md","0","0","0","0","0","1","2801","2026-04-20 18:14:38"
"_api\env-konfiguration.md","0","0","0","3","0","1","2719","2026-04-25 14:30:41"
"_claude\skills\abgleich.md","0","0","0","0","0","1","2165","2026-04-16 21:53:02"
"_claude\skills\audio-verarbeiten.md","0","0","0","0","0","1","4335","2026-04-25 15:05:15"
"_claude\skills\eingang-verarbeiten.md","0","0","0","0","0","1","3815","2026-04-25 15:06:14"
"_claude\skills\log.md","0","0","0","0","0","1","2468","2026-04-16 21:53:02"
"_claude\skills\schreibstil.md","0","0","0","0","0","1","6620","2026-04-17 13:36:16"
"_claude\skills\tages-start.md","0","0","0","0","0","1","3484","2026-04-24 21:12:40"
"_claude\skills\transkript-verarbeiten.md","0","0","0","0","0","1","6011","2026-04-25 15:05:55"
"_claude\skills\vault-pruefung.md","0","0","0","0","0","1","2503","2026-04-16 21:53:02"
"_claude\skills\vault-system.md","0","0","0","0","0","1","8763","2026-04-25 19:46:57"
"_claude\skills\wissens-destillation.md","0","0","0","0","0","1","2965","2026-04-16 21:53:02"
"_meta\endpunkte.md","0","0","0","0","0","1","2406","2026-04-16 21:53:02"
"_meta\glossar.md","0","0","0","0","0","1","1724","2026-04-16 18:54:12"
"_meta\schema.md","0","0","0","0","0","1","6215","2026-04-17 09:25:32"
"_migration\issues.md","0","0","0","0","0","1","3271","2026-04-16 21:53:02"
